County,Data Year,Population,Z Score
San Francisco,2019,872219,-0.090042777745689
San Joaquin,2019,767324,-0.11035624263072367
San Luis Obispo     ,2019,282935,-0.20416070368413003
San Mateo           ,2019,765726,-0.11066570368116731
Santa Barbara       ,2019,447907,-0.17221301381317392
Santa Clara         ,2019,1936821,0.11612296269511066
Santa Cruz          ,2019,272618,-0.20615864464622452
Shasta              ,2019,181573,-0.22378998465726396
Sierra              ,2019,3241,-0.25832490834169125
Siskiyou            ,2019,44273,-0.25037884712654523
Solano              ,2019,450545,-0.1717021513281487
Sonoma              ,2019,494708,-0.16314975560177675
Stanislaus          ,2019,550947,-0.1522587793715516
State Total,2019,39503656,7.391136868166215
Sutter              ,2019,101531,-0.23929053622147525
Tehama              ,2019,65030,-0.24635914560961245
Trinity             ,2019,15898,-0.25587381415178817
Tulare              ,2019,469228,-0.16808409074902575
Tuolumne            ,2019,55074,-0.24828717703528008
Ventura             ,2019,847064,-0.09491417494463125
Yolo                ,2019,215874,-0.21714741676535707
Yuba                ,2019,79619,-0.24353390952392895
Alameda             ,2020,1681337,0.06664715104833818
Amador              ,2020,40426,-0.2511238387792716
Butte               ,2020,216090,-0.21710558723663625
Calaveras           ,2020,45290,-0.2501818997621515
Colusa              ,2020,21811,-0.2547287308030565
Contra Costa        ,2020,1164844,-0.033374417366421445
Del Norte,2020,27702,-0.25358790786928714
El Dorado           ,2020,190202,-0.22211893371591343
Fresno              ,2020,1006557,-0.06402752205451413
Glenn               ,2020,28800,-0.2533752744316231
Humboldt            ,2020,136547,-0.23250950484329352
Imperial            ,2020,180036,-0.2240876327389485
Inyo                ,2020,18995,-0.25527406391823126
Kern                ,2020,907416,-0.08322669477168104
Kings               ,2020,152249,-0.2294687304915626
Lake                ,2020,68144,-0.24575610323722102
Lassen              ,2020,32555,-0.2526480990596482
Los Angeles ,2020,10029036,1.6832226837938362
Madera              ,2020,155967,-0.22874872036293342
Marin               ,2020,262802,-0.20805956434031386
Mariposa            ,2020,17156,-0.2556301958780347
