County,Data Year,Population,Z Score,Number of Gas Cars,Number of EV
Trinity,2015,14906,-0.2560659201355429,11050,10
Tulare,2015,458186,-0.1702224317496506,251351,201
Tuolumne,2015,54956,-0.248310028351896,45045,42
Ventura,2015,849950,-0.0943552859636673,566173,3303
Yolo,2015,208343,-0.2186058342690435,119085,697
Yuba,2015,75374,-0.2443559759564278,43345,44
Alameda,2016,1641983,0.0590260433016805,997320,18141
Amador,2016,37663,-0.2516589081674917,33884,58
Butte,2016,228198,-0.2147608097655652,144796,245
Calaveras,2016,45402,-0.2501602103768889,44215,75
Colusa,2016,21531,-0.254782954266213,16305,8
Contra Costa,2016,1136478,-0.0388676414946343,756822,9293
Del Norte,2016,26960,-0.2537316000466521,16389,36
El Dorado,2016,181630,-0.2237789463094071,142202,927
Fresno,2016,975622,-0.0700182464571887,554754,2054
Glenn,2016,27714,-0.2535855840065804,20701,19
Humboldt,2016,137015,-0.2324188741977318,97681,673
Imperial,2016,179897,-0.2241145508153012,131459,62
Inyo,2016,18876,-0.2552971088900728,15941,15
Kern,2016,876846,-0.0891467350170264,497026,987
Kings,2016,148487,-0.2301972614501164,76498,93
Lake,2016,66991,-0.2459793877122908,54241,115
Lassen,2016,32293,-0.2526988367287447,19526,6
Los Angeles,2016,10087542,1.6945526764204042,6154945,60589
Madera,2016,152819,-0.2293583470129938,89419,192
Marin,2016,264554,-0.2077202803851341,183934,3858
Mariposa,2016,17625,-0.2555393715772474,16555,22
Mendocino,2016,90761,-0.2413762030007481,73250,440
Merced,2016,268527,-0.2069508881739873,155608,226
Modoc,2016,9130,-0.257184472718373,6775,2
Mono,2016,13412,-0.2563552410425284,10289,15
Monterey,2016,434712,-0.1747682945144278,276640,1093
Napa,2016,141119,-0.2316241131520367,100108,888
Nevada,2016,100793,-0.2394334537779379,79306,324
Orange,2016,3165028,0.3539716663135269,2090818,26956
Placer,2016,379143,-0.1855295217435283,272468,1829
Plumas,2016,19017,-0.2552698035032689,17894,11
Riverside,2016,2326213,0.1915307582860675,1426424,6329
Sacramento,2016,1511942,0.0338429241147336,924973,4569
San Benito,2016,59563,-0.2474178587277447,41896,209
San Bernardino,2016,2124990,0.152562872833364,1291619,4911
San Diego,2016,3263004,0.3729452306929173,2165631,16914
San Francisco,2016,861977,-0.0920261945658665,382460,5558
San Joaquin,2016,735670,-0.1164862051405753,444390,1439
San Luis Obispo,2016,281046,-0.2045265184052113,197388,1061
