County,Data Year,Total Population,Total Population Z Score,"Population Estimate, >18","Population Margin of Error, >18",Number of Gas Cars,Number of EV
San Luis Obispo,2018,282754,-0.2041957552799562,229879.00199999998,±0.4,221429,2476
San Mateo,2018,766114,-0.1105905654536503,599101.148,*****,641943,18271
Santa Barbara,2018,447377,-0.1723156510827203,346269.798,*****,319786,3354
Santa Clara,2018,1936569,0.1160741615782697,1479538.716,*****,1399036,60245
Santa Cruz,2018,274274,-0.2058379515926984,217499.28199999998,±0.1,206571,4004
Shasta,2018,181792,-0.2237475741628664,141797.76,±0.3,140931,442
Solano,2018,447744,-0.17224457961494,342524.16000000003,±0.1,335672,3421
Sonoma,2018,499410,-0.1622391887311972,393035.67000000004,±0.1,400422,8008
Stanislaus,2018,548363,-0.1527591844743966,394821.36,±0.1,385092,1605
Sutter,2018,99498,-0.2396842372950371,72733.038,*****,72395,174
Tulare,2018,466766,-0.1685608699143525,316934.114,*****,303924,853
Ventura,2018,850604,-0.0942286354461516,638803.6039999999,±0.1,656711,8930
Yolo,2018,215708,-0.2171795635327998,169546.48799999998,±0.4,141511,2016
Yuba,2018,78751,-0.2437020022597143,56385.716,±0.3,52265,148
Alameda,2019,1675964,0.0656066415214084,1305575.956,*****,1110435,42887
Butte,2019,227263,-0.214941877401463,180674.08500000002,±0.1,154139,796
Contra Costa,2019,1161077,-0.034103916601103,881257.443,*****,857731,23018
El Dorado,2019,186714,-0.222794403142664,146197.06199999998,±0.2,163945,2391
Fresno,2019,1000679,-0.0651658274703512,707480.0530000001,*****,657283,5015
Humboldt,2019,137059,-0.2324103533678072,110058.377,±0.3,107404,1367
Imperial,2019,181025,-0.2238961077208704,129432.875,±0.2,157228,234
