Data Year,County,Population,Population Z Score,Adult Population,Average PM 2.5/County,Number of Site IDs/County,County Latitude,County Longitude,Number of Gas Cars,Number of EV
2013,Santa Clara,1861489,0.8291417001216276,1425901.0,11.516923076923078,3,37.27,-121.88,1178520.0,7816.0
2013,Santa Cruz,269714,-0.2772555955689114,213344.0,10.993103448275862,2,37.01,-122.03,172542.0,546.0
2013,Shasta,180106,-0.33953955459090746,141023.0,4.7,4,40.6,-122.05,121390.0,52.0
2013,Solano,423373,-0.17045161758300725,324727.0,10.297435897435896,1,38.1,-122.24,267275.0,325.0
2013,Sonoma,492751,-0.1222289532112096,389766.0,7.111764705882353,1,38.44,-122.71,334893.0,756.0
2013,Stanislaus,525173,-0.09969334791468298,380225.0,17.29230769230769,2,37.57,-120.92,298876.0,108.0
2013,Sutter,94496,-0.3990446181106053,69455.0,8.3,1,39.14,-121.62,58343.0,10.0
2013,Tulare,453530,-0.1494903490330303,309307.0,16.378,3,36.23,-119.16,238536.0,62.0
2013,Ventura,841501,0.12017720147275983,634492.0,9.011956521739132,5,34.31,-118.91,548331.0,1139.0
2013,Yolo,206386,-0.32127307790246384,161187.0,5.915,2,38.55,-121.77,114271.0,259.0
2014,Alameda,1597747,0.6458221759677653,1255829.0,8.980263157894736,4,37.76,-122.12,945024.0,8304.0
2014,Butte,225737,-0.30782275102278067,179912.0,8.439506172839506,3,39.65,-121.75,138086.0,134.0
2014,Contra Costa,1104732,0.3031415441354579,846225.0,7.6194444444444445,2,37.95,-122.17,715671.0,4233.0
2014,El Dorado,180132,-0.3395214827342142,142484.0,3.1181818181818177,2,38.95,-120.04,135913.0,460.0
2014,Fresno,959645,0.20229571828704768,682308.0,12.737719298245613,6,36.72,-119.86,516116.0,740.0
2014,Humboldt,135895,-0.3702693567550163,109531.0,7.195652173913044,3,40.81,-124.06,93068.0,221.0
2014,Imperial,178471,-0.34067599634835055,127607.0,14.022388059701493,3,32.71,-115.5,117294.0,27.0
2014,Kern,867021,0.1379154238886305,612117.0,14.640625,7,35.22,-118.79,471196.0,414.0
2014,Kings,148974,-0.3611785177668826,108006.0,14.75,2,36.25,-119.62,72538.0,23.0
2014,Lake,66484,-0.4185149584833862,52921.0,2.1666666666666665,1,39.03,-122.92,51366.0,56.0
2014,Los Angeles,10037944,6.512361816240667,7749293.0,13.310869565217391,12,34.13,-118.31,5816774.0,28696.0
